,number,value,datetime_start,datetime_complete,duration,params_class_weight,params_max_depth,params_max_features,params_n_estimators,state
38,38,0.09846798428109106,2022-12-01 20:41:23.863493,2022-12-01 20:41:37.163667,0 days 00:00:13.300174,"{0: 1, 1: 10}",31.0,1.0,660,COMPLETE
39,39,0.09341963322545846,2022-12-01 20:41:37.365202,2022-12-01 20:41:44.504214,0 days 00:00:07.139012,"{0: 1, 1: 10}",13.0,0.8,110,COMPLETE
40,40,0.1682550102270976,2022-12-01 20:41:44.706413,2022-12-01 20:41:55.781321,0 days 00:00:11.074908,"{0: 1, 1: 100}",20.0,0.6,860,COMPLETE
41,41,0.17853158550367287,2022-12-01 20:41:55.987247,2022-12-01 20:42:07.673079,0 days 00:00:11.685832,"{0: 1, 1: 100}",38.0,,710,COMPLETE
42,42,0.13325289339861285,2022-12-01 20:42:07.874836,2022-12-01 20:42:18.413042,0 days 00:00:10.538206,"{0: 1, 1: 10}",36.0,log2,860,COMPLETE
43,43,0.09264784635537063,2022-12-01 20:42:18.614572,2022-12-01 20:42:28.925586,0 days 00:00:10.311014,"{0: 1, 1: 10}",14.0,0.7,510,COMPLETE
44,44,0.16649252581291413,2022-12-01 20:42:29.129357,2022-12-01 20:42:41.264177,0 days 00:00:12.134820,balanced,21.0,,760,COMPLETE
45,45,0.0952671310312369,2022-12-01 20:42:41.465563,2022-12-01 20:42:49.068801,0 days 00:00:07.603238,"{0: 1, 1: 10}",11.0,sqrt,310,COMPLETE
46,46,0.18363804772178555,2022-12-01 20:42:49.272634,2022-12-01 20:42:57.507383,0 days 00:00:08.234749,"{0: 1, 1: 100}",25.0,0.7,360,COMPLETE
47,47,0.01932038834951456,2022-12-01 20:42:57.709705,2022-12-01 20:43:07.709920,0 days 00:00:10.000215,,35.0,,360,COMPLETE
48,48,0.08154881907915887,2022-12-01 20:43:07.912932,2022-12-01 20:43:14.846452,0 days 00:00:06.933520,"{0: 1, 1: 10}",25.0,log2,60,COMPLETE
49,49,0.15070083346175578,2022-12-01 20:43:15.053962,2022-12-01 20:43:23.990715,0 days 00:00:08.936753,balanced,19.0,0.6,510,COMPLETE
50,50,0.17294491960754094,2022-12-01 20:43:24.192239,2022-12-01 20:43:35.545225,0 days 00:00:11.352986,balanced,16.0,,660,COMPLETE
51,51,0.05192556634304207,2022-12-01 20:43:35.751171,2022-12-01 20:43:42.940124,0 days 00:00:07.188953,"{0: 1, 1: 10}",36.0,,110,COMPLETE
