,number,value,datetime_start,datetime_complete,duration,params_class_weight,params_max_depth,params_max_features,params_n_estimators,state
38,38,0.7656937489345129,2022-12-01 00:43:39.112957,2022-12-01 00:43:54.952899,0 days 00:00:15.839942,"{0: 1, 1: 10}",31.0,1.0,660,COMPLETE
39,39,0.7521000210299207,2022-12-01 00:43:55.150901,2022-12-01 00:44:02.404100,0 days 00:00:07.253199,"{0: 1, 1: 10}",13.0,0.8,110,COMPLETE
40,40,0.6614233266613695,2022-12-01 00:44:02.603263,2022-12-01 00:44:15.616599,0 days 00:00:13.013336,"{0: 1, 1: 100}",20.0,0.6,860,COMPLETE
41,41,0.6357387481855385,2022-12-01 00:44:15.874448,2022-12-01 00:44:29.556651,0 days 00:00:13.682203,"{0: 1, 1: 100}",38.0,,710,COMPLETE
42,42,0.5763936372775997,2022-12-01 00:44:29.759149,2022-12-01 00:44:39.108398,0 days 00:00:09.349249,"{0: 1, 1: 10}",36.0,log2,860,COMPLETE
43,43,0.7452424723410033,2022-12-01 00:44:39.308305,2022-12-01 00:44:51.048737,0 days 00:00:11.740432,"{0: 1, 1: 10}",14.0,0.7,510,COMPLETE
44,44,0.6369248724562709,2022-12-01 00:44:51.250296,2022-12-01 00:45:05.717470,0 days 00:00:14.467174,balanced,21.0,,760,COMPLETE
45,45,0.6772670030753893,2022-12-01 00:45:05.920918,2022-12-01 00:45:13.318970,0 days 00:00:07.398052,"{0: 1, 1: 10}",11.0,sqrt,310,COMPLETE
46,46,0.6625665474824756,2022-12-01 00:45:13.517057,2022-12-01 00:45:22.441923,0 days 00:00:08.924866,"{0: 1, 1: 100}",25.0,0.7,360,COMPLETE
47,47,0.7371163655929427,2022-12-01 00:45:22.644701,2022-12-01 00:45:38.332600,0 days 00:00:15.687899,,35.0,,360,COMPLETE
48,48,0.6042635099786662,2022-12-01 00:45:38.533962,2022-12-01 00:45:45.501478,0 days 00:00:06.967516,"{0: 1, 1: 10}",25.0,log2,60,COMPLETE
49,49,0.6686004294039354,2022-12-01 00:45:45.700922,2022-12-01 00:45:55.989657,0 days 00:00:10.288735,balanced,19.0,0.6,510,COMPLETE
50,50,0.6359058861808997,2022-12-01 00:45:56.189515,2022-12-01 00:46:09.475123,0 days 00:00:13.285608,balanced,16.0,,660,COMPLETE
51,51,0.7509292974872008,2022-12-01 00:46:09.678138,2022-12-01 00:46:17.119954,0 days 00:00:07.441816,"{0: 1, 1: 10}",36.0,,110,COMPLETE
52,52,0.7584221263854258,2022-12-01 00:46:17.326380,2022-12-01 00:46:28.386811,0 days 00:00:11.060431,"{0: 1, 1: 10}",28.0,0.8,410,COMPLETE
53,53,0.6087232168896448,2022-12-01 00:46:28.590717,2022-12-01 00:46:43.365892,0 days 00:00:14.775175,"{0: 1, 1: 100}",3.0,,910,COMPLETE
54,54,0.6469198280741572,2022-12-01 00:46:43.568387,2022-12-01 00:46:50.772582,0 days 00:00:07.204195,"{0: 1, 1: 100}",,log2,310,COMPLETE
55,55,0.6578245379603119,2022-12-01 00:46:50.976884,2022-12-01 00:47:02.113453,0 days 00:00:11.136569,"{0: 1, 1: 100}",19.0,0.6,660,COMPLETE
56,56,0.7525292041964768,2022-12-01 00:47:02.325521,2022-12-01 00:47:20.696495,0 days 00:00:18.370974,,6.0,,460,COMPLETE
57,57,0.6052848765290372,2022-12-01 00:47:20.897050,2022-12-01 00:47:29.479409,0 days 00:00:08.582359,"{0: 1, 1: 10}",23.0,log2,660,COMPLETE
58,58,0.6019978288619703,2022-12-01 00:47:29.677865,2022-12-01 00:47:36.386237,0 days 00:00:06.708372,balanced,,0.8,10,COMPLETE
59,59,0.76293950346282,2022-12-01 00:47:36.587367,2022-12-01 00:47:46.250160,0 days 00:00:09.662793,"{0: 1, 1: 10}",24.0,1.0,260,COMPLETE
60,60,0.6808794438409556,2022-12-01 00:47:46.437987,2022-12-01 00:47:53.309404,0 days 00:00:06.871417,"{0: 1, 1: 10}",21.0,0.7,10,COMPLETE
61,61,0.6207109653478349,2022-12-01 00:47:53.512914,2022-12-01 00:48:00.430972,0 days 00:00:06.918058,balanced,4.0,0.6,110,COMPLETE
62,62,0.6526018653000673,2022-12-01 00:48:00.628147,2022-12-01 00:48:15.045963,0 days 00:00:14.417816,balanced,36.0,0.7,910,COMPLETE
63,63,0.6075864538469842,2022-12-01 00:48:15.250297,2022-12-01 00:48:26.503554,0 days 00:00:11.253257,balanced,9.0,0.8,560,COMPLETE
64,64,0.6018175086293305,2022-12-01 00:48:26.706717,2022-12-01 00:48:36.932396,0 days 00:00:10.225679,balanced,5.0,0.7,510,COMPLETE
65,65,0.7189988074139425,2022-12-01 00:48:37.155965,2022-12-01 00:48:46.715502,0 days 00:00:09.559537,"{0: 1, 1: 100}",31.0,sqrt,910,COMPLETE
66,66,0.7526551816002189,2022-12-01 00:48:46.924139,2022-12-01 00:48:58.615417,0 days 00:00:11.691278,"{0: 1, 1: 10}",21.0,0.8,460,COMPLETE
67,67,0.6358882819924181,2022-12-01 00:48:58.824448,2022-12-01 00:49:06.571445,0 days 00:00:07.746997,,19.0,sqrt,460,COMPLETE
68,68,0.6243524787878739,2022-12-01 00:49:06.775347,2022-12-01 00:49:14.182307,0 days 00:00:07.406960,balanced,14.0,log2,310,COMPLETE
69,69,0.735424892038415,2022-12-01 00:49:14.385756,2022-12-01 00:49:36.387888,0 days 00:00:22.002132,,29.0,0.8,710,COMPLETE
70,70,0.7076219360490279,2022-12-01 00:49:36.592083,2022-12-01 00:49:45.837905,0 days 00:00:09.245822,balanced,19.0,sqrt,860,COMPLETE
71,71,0.593127483629108,2022-12-01 00:49:46.047083,2022-12-01 00:49:56.165453,0 days 00:00:10.118370,"{0: 1, 1: 100}",5.0,0.7,510,COMPLETE
72,72,0.7339603701723589,2022-12-01 00:49:56.365518,2022-12-01 00:50:16.013690,0 days 00:00:19.648172,,33.0,,510,COMPLETE
73,73,0.7536914325589203,2022-12-01 00:50:16.217139,2022-12-01 00:50:25.060150,0 days 00:00:08.843011,"{0: 1, 1: 10}",5.0,,210,COMPLETE
74,74,0.640319165013122,2022-12-01 00:50:25.509065,2022-12-01 00:50:42.859186,0 days 00:00:17.350121,"{0: 1, 1: 100}",31.0,,960,COMPLETE
75,75,0.6460078431783653,2022-12-01 00:50:43.364450,2022-12-01 00:50:53.752806,0 days 00:00:10.388356,balanced,3.0,sqrt,910,COMPLETE
76,76,0.7691808192541577,2022-12-01 00:50:53.958970,2022-12-01 00:51:11.334374,0 days 00:00:17.375404,"{0: 1, 1: 10}",37.0,1.0,760,COMPLETE
77,77,0.662433106280429,2022-12-01 00:51:11.543805,2022-12-01 00:51:20.899101,0 days 00:00:09.355296,balanced,31.0,0.6,410,COMPLETE
78,78,0.7410118609054859,2022-12-01 00:51:21.106515,2022-12-01 00:51:28.482472,0 days 00:00:07.375957,,27.0,,60,COMPLETE
79,79,0.6616223800028839,2022-12-01 00:51:28.688115,2022-12-01 00:51:36.513876,0 days 00:00:07.825761,balanced,38.0,0.7,210,COMPLETE
80,80,0.6499555429987235,2022-12-01 00:51:36.718928,2022-12-01 00:51:51.432211,0 days 00:00:14.713283,"{0: 1, 1: 100}",22.0,0.9,860,COMPLETE
81,81,0.7341452914608474,2022-12-01 00:51:51.638157,2022-12-01 00:52:09.014983,0 days 00:00:17.376826,,33.0,0.9,460,COMPLETE
82,82,0.7399644583484973,2022-12-01 00:52:09.217035,2022-12-01 00:52:17.808872,0 days 00:00:08.591837,,7.0,1.0,110,COMPLETE
83,83,0.6461987300779171,2022-12-01 00:52:18.012015,2022-12-01 00:52:26.406263,0 days 00:00:08.394248,"{0: 1, 1: 100}",19.0,0.9,260,COMPLETE
84,84,0.6769399892506797,2022-12-01 00:52:26.611590,2022-12-01 00:52:35.837174,0 days 00:00:09.225584,"{0: 1, 1: 10}",22.0,sqrt,810,COMPLETE
85,85,0.6409319051886005,2022-12-01 00:52:36.038179,2022-12-01 00:52:51.283459,0 days 00:00:15.245280,balanced,25.0,,810,COMPLETE
86,86,0.6369913696639089,2022-12-01 00:52:51.484073,2022-12-01 00:53:01.698494,0 days 00:00:10.214421,"{0: 1, 1: 10}",10.0,log2,960,COMPLETE
87,87,0.6628880229921635,2022-12-01 00:53:01.907931,2022-12-01 00:53:08.973673,0 days 00:00:07.065742,"{0: 1, 1: 10}",14.0,sqrt,160,COMPLETE
88,88,0.6070964994838919,2022-12-01 00:53:09.180075,2022-12-01 00:53:18.179704,0 days 00:00:08.999629,"{0: 1, 1: 100}",6.0,,310,COMPLETE
89,89,0.7379283025979007,2022-12-01 00:53:18.385139,2022-12-01 00:53:34.364102,0 days 00:00:15.978963,,11.0,0.6,560,COMPLETE
90,90,0.6495768247682292,2022-12-01 00:53:34.563573,2022-12-01 00:53:48.227199,0 days 00:00:13.663626,"{0: 1, 1: 100}",38.0,0.9,760,COMPLETE
91,91,0.6312503813444588,2022-12-01 00:53:48.432175,2022-12-01 00:53:57.979143,0 days 00:00:09.546968,,7.0,log2,660,COMPLETE
92,92,0.5987687508811768,2022-12-01 00:53:58.185741,2022-12-01 00:54:12.493459,0 days 00:00:14.307718,balanced,8.0,0.8,860,COMPLETE
93,93,0.6392956695651895,2022-12-01 00:54:12.704392,2022-12-01 00:54:26.666254,0 days 00:00:13.961862,balanced,30.0,0.9,760,COMPLETE
94,94,0.6482431368364627,2022-12-01 00:54:26.868023,2022-12-01 00:54:34.363663,0 days 00:00:07.495640,balanced,22.0,0.9,160,COMPLETE
95,95,0.7187534935562025,2022-12-01 00:54:34.557878,2022-12-01 00:54:45.758683,0 days 00:00:11.200805,,3.0,0.7,410,COMPLETE
96,96,0.6326016086265545,2022-12-01 00:54:45.958381,2022-12-01 00:54:53.695848,0 days 00:00:07.737467,,21.0,sqrt,460,COMPLETE
97,97,0.6554710744717853,2022-12-01 00:54:53.905619,2022-12-01 00:55:00.806704,0 days 00:00:06.901085,balanced,24.0,sqrt,10,COMPLETE
98,98,0.7064647190463867,2022-12-01 00:55:01.014774,2022-12-01 00:55:08.209067,0 days 00:00:07.194293,balanced,23.0,sqrt,310,COMPLETE
99,99,0.6145462960123965,2022-12-01 00:55:08.414657,2022-12-01 00:55:19.655547,0 days 00:00:11.240890,"{0: 1, 1: 100}",9.0,0.7,610,COMPLETE
100,100,0.6414694300480764,2022-12-01 00:55:19.858523,2022-12-01 00:55:34.660171,0 days 00:00:14.801648,"{0: 1, 1: 100}",24.0,1.0,810,COMPLETE
101,101,0.7072803017327749,2022-12-01 00:55:34.865459,2022-12-01 00:55:43.293144,0 days 00:00:08.427685,balanced,20.0,sqrt,610,COMPLETE
102,102,0.677413736443529,2022-12-01 00:55:43.500531,2022-12-01 00:55:50.585468,0 days 00:00:07.084937,"{0: 1, 1: 100}",9.0,sqrt,160,COMPLETE
103,103,0.7623785685913693,2022-12-01 00:55:50.792224,2022-12-01 00:56:05.002615,0 days 00:00:14.210391,"{0: 1, 1: 10}",24.0,1.0,560,COMPLETE
104,104,0.6782935000496562,2022-12-01 00:56:05.219979,2022-12-01 00:56:14.665928,0 days 00:00:09.445949,"{0: 1, 1: 100}",11.0,sqrt,960,COMPLETE
105,105,0.7143722795320866,2022-12-01 00:56:14.871902,2022-12-01 00:56:21.763021,0 days 00:00:06.891119,"{0: 1, 1: 10}",,,10,COMPLETE
106,106,0.6425493123466232,2022-12-01 00:56:21.963329,2022-12-01 00:56:37.021867,0 days 00:00:15.058538,balanced,25.0,0.8,910,COMPLETE
107,107,0.6315500952735907,2022-12-01 00:56:37.224482,2022-12-01 00:56:51.814851,0 days 00:00:14.590369,"{0: 1, 1: 100}",11.0,,810,COMPLETE
108,108,0.63778585616537,2022-12-01 00:56:52.019619,2022-12-01 00:57:08.156050,0 days 00:00:16.136431,balanced,12.0,,910,COMPLETE
109,109,0.7140680699960598,2022-12-01 00:57:08.357288,2022-12-01 00:57:23.332141,0 days 00:00:14.974853,,2.0,0.7,960,COMPLETE
110,110,0.6860980242651078,2022-12-01 00:57:23.537607,2022-12-01 00:57:30.567202,0 days 00:00:07.029595,"{0: 1, 1: 10}",7.0,sqrt,210,COMPLETE
111,111,0.6109168969137849,2022-12-01 00:57:30.771627,2022-12-01 00:57:42.634668,0 days 00:00:11.863041,"{0: 1, 1: 100}",3.0,0.7,760,COMPLETE
112,112,0.7224601757327207,2022-12-01 00:57:42.840102,2022-12-01 00:57:49.750748,0 days 00:00:06.910646,"{0: 1, 1: 100}",32.0,sqrt,110,COMPLETE
113,113,0.7479610215466896,2022-12-01 00:57:49.958268,2022-12-01 00:58:05.397686,0 days 00:00:15.439418,"{0: 1, 1: 10}",5.0,0.6,910,COMPLETE
114,114,0.6565659728080518,2022-12-01 00:58:05.596605,2022-12-01 00:58:14.131809,0 days 00:00:08.535204,"{0: 1, 1: 100}",16.0,0.7,310,COMPLETE
115,115,0.653753979245474,2022-12-01 00:58:14.333697,2022-12-01 00:58:23.890655,0 days 00:00:09.556958,"{0: 1, 1: 100}",30.0,log2,960,COMPLETE
116,116,0.7333587104409625,2022-12-01 00:58:24.094859,2022-12-01 00:58:42.971817,0 days 00:00:18.876958,,35.0,0.6,710,COMPLETE
117,117,0.6574061030707177,2022-12-01 00:58:43.176784,2022-12-01 00:58:51.743580,0 days 00:00:08.566796,"{0: 1, 1: 100}",29.0,0.7,310,COMPLETE
118,118,0.7335764582291043,2022-12-01 00:58:51.949643,2022-12-01 00:59:04.269052,0 days 00:00:12.319409,,32.0,0.6,360,COMPLETE
119,119,0.6563010897474368,2022-12-01 00:59:04.474533,2022-12-01 00:59:18.492301,0 days 00:00:14.017768,balanced,25.0,0.7,860,COMPLETE
