,Name,Smiles,Binding
837,it4.2_AM-01_Imid-01_SO2Cl-01_AM-SO2Cl-05,COCCNC(=O)N1CCN(C(=O)c2ccc(S(=O)(=O)N(C)Cc3ccc(C)o3)o2)CC1,False
838,it4.2_AM-01_Imid-01_SO2Cl-01_AM-SO2Cl-06,COCCNC(=O)N1CCN(C(=O)c2ccc(S(=O)(=O)Nc3cc(C)on3)o2)CC1,False
839,it4.2_AM-01_Imid-01_SO2Cl-01_AM-SO2Cl-07,COCCNC(=O)N1CCN(C(=O)c2ccc(S(=O)(=O)NCC3CCCO3)o2)CC1,False
840,it4.2_AM-01_Imid-01_SO2Cl-01_AM-SO2Cl-09,COCCNC(=O)N1CCN(C(=O)c2ccc(S(=O)(=O)NCc3cccnc3)o2)CC1,False
841,it4.2_AM-01_Imid-01_SO2Cl-01_AM-SO2Cl-10,C#CCNS(=O)(=O)c1ccc(C(=O)N2CCN(C(=O)NCCOC)CC2)o1,False
842,it4.2_AM-01_Imid-01_SO2Cl-01_AM-SO2Cl-11,COCCNC(=O)N1CCN(C(=O)c2ccc(S(=O)(=O)NC3CCCC3)o2)CC1,False
843,it4.2_AM-01_Imid-01_SO2Cl-01_AM-SO2Cl-12,COCCNC(=O)N1CCN(C(=O)c2ccc(S(=O)(=O)NC3CC3)o2)CC1,False
844,it4.2_AM-01_Imid-01_SO2Cl-01_AM-SO2Cl-13,COCCNC(=O)N1CCN(C(=O)c2ccc(S(=O)(=O)N3CCSCC3)o2)CC1,False
845,it4.2_AM-01_Imid-01_SO2Cl-01_AM-SO2Cl-16,COCCNC(=O)N1CCN(C(=O)c2ccc(S(=O)(=O)Nc3ccc(F)cc3F)o2)CC1,False
846,it4.2_AM-01_Imid-01_SO2Cl-01_AM-SO2Cl-17,COCCNC(=O)N1CCN(C(=O)c2ccc(S(=O)(=O)NCCC(C)C)o2)CC1,False
847,it4.2_AM-01_Imid-01_SO2Cl-01_AM-SO2Cl-18,COCCNC(=O)N1CCN(C(=O)c2ccc(S(=O)(=O)NCc3ccccc3)o2)CC1,False
848,it4.2_AM-01_Imid-01_SO2Cl-01_AM-SO2Cl-20,COCCNC(=O)N1CCN(C(=O)c2ccc(S(=O)(=O)N(C)CCN(C)C)o2)CC1,False
849,it4.2_AM-02_Imid-01_SO2Cl-01_AM-SO2Cl-01,COCCNS(=O)(=O)c1ccc(C(=O)N2CCN(C(=O)NCC3CC3)CC2)o1,False
850,it4.2_AM-02_Imid-01_SO2Cl-01_AM-SO2Cl-02,O=C(NCC1CC1)N1CCN(C(=O)c2ccc(S(=O)(=O)NCC3CC3)o2)CC1,False
851,it4.2_AM-02_Imid-01_SO2Cl-01_AM-SO2Cl-03,O=C(NCC1CC1)N1CCN(C(=O)c2ccc(S(=O)(=O)NCC(F)(F)F)o2)CC1,False
852,it4.2_AM-02_Imid-01_SO2Cl-01_AM-SO2Cl-04,O=C(NCC1CC1)N1CCN(C(=O)c2ccc(S(=O)(=O)NCc3cccs3)o2)CC1,False
853,it4.2_AM-02_Imid-01_SO2Cl-01_AM-SO2Cl-05,Cc1ccc(CN(C)S(=O)(=O)c2ccc(C(=O)N3CCN(C(=O)NCC4CC4)CC3)o2)o1,False
854,it4.2_AM-02_Imid-01_SO2Cl-01_AM-SO2Cl-06,Cc1cc(NS(=O)(=O)c2ccc(C(=O)N3CCN(C(=O)NCC4CC4)CC3)o2)no1,False
855,it4.2_AM-02_Imid-01_SO2Cl-01_AM-SO2Cl-07,O=C(NCC1CC1)N1CCN(C(=O)c2ccc(S(=O)(=O)NCC3CCCO3)o2)CC1,False
856,it4.2_AM-02_Imid-01_SO2Cl-01_AM-SO2Cl-08,O=C(NCC1CC1)N1CCN(C(=O)c2ccc(S(=O)(=O)NCCO)o2)CC1,False
857,it4.2_AM-02_Imid-01_SO2Cl-01_AM-SO2Cl-09,O=C(NCC1CC1)N1CCN(C(=O)c2ccc(S(=O)(=O)NCc3cccnc3)o2)CC1,False
858,it4.2_AM-02_Imid-01_SO2Cl-01_AM-SO2Cl-10,C#CCNS(=O)(=O)c1ccc(C(=O)N2CCN(C(=O)NCC3CC3)CC2)o1,False
859,it4.2_AM-02_Imid-01_SO2Cl-01_AM-SO2Cl-11,O=C(NCC1CC1)N1CCN(C(=O)c2ccc(S(=O)(=O)NC3CCCC3)o2)CC1,False
860,it4.2_AM-02_Imid-01_SO2Cl-01_AM-SO2Cl-12,O=C(NCC1CC1)N1CCN(C(=O)c2ccc(S(=O)(=O)NC3CC3)o2)CC1,False
861,it4.2_AM-02_Imid-01_SO2Cl-01_AM-SO2Cl-13,O=C(NCC1CC1)N1CCN(C(=O)c2ccc(S(=O)(=O)N3CCSCC3)o2)CC1,False
862,it4.2_AM-02_Imid-01_SO2Cl-01_AM-SO2Cl-16,O=C(NCC1CC1)N1CCN(C(=O)c2ccc(S(=O)(=O)Nc3ccc(F)cc3F)o2)CC1,False
863,it4.2_AM-02_Imid-01_SO2Cl-01_AM-SO2Cl-17,CC(C)CCNS(=O)(=O)c1ccc(C(=O)N2CCN(C(=O)NCC3CC3)CC2)o1,False
864,it4.2_AM-02_Imid-01_SO2Cl-01_AM-SO2Cl-18,O=C(NCC1CC1)N1CCN(C(=O)c2ccc(S(=O)(=O)NCc3ccccc3)o2)CC1,False
865,it4.2_AM-02_Imid-01_SO2Cl-01_AM-SO2Cl-20,CN(C)CCN(C)S(=O)(=O)c1ccc(C(=O)N2CCN(C(=O)NCC3CC3)CC2)o1,False
866,it4.2_AM-03_Imid-01_SO2Cl-01_AM-SO2Cl-01,COCCNS(=O)(=O)c1ccc(C(=O)N2CCN(C(=O)NCc3cccs3)CC2)o1,False
