,number,value,datetime_start,datetime_complete,duration,params_class_weight,params_max_depth,params_max_features,params_n_estimators,state
38,38,0.7160348375787582,2022-11-29 18:56:19.636460,2022-11-29 18:56:42.361834,0 days 00:00:22.725374,"{0: 1, 1: 10}",31.0,1.0,660,COMPLETE
39,39,0.6956988748359627,2022-11-29 18:56:42.535903,2022-11-29 18:56:50.532683,0 days 00:00:07.996780,"{0: 1, 1: 10}",13.0,0.8,110,COMPLETE
40,40,0.6457151625148194,2022-11-29 18:56:50.716675,2022-11-29 18:57:07.459002,0 days 00:00:16.742327,"{0: 1, 1: 100}",20.0,0.6,860,COMPLETE
41,41,0.6354841186168818,2022-11-29 18:57:07.625182,2022-11-29 18:57:26.418857,0 days 00:00:18.793675,"{0: 1, 1: 100}",38.0,,710,COMPLETE
42,42,0.5303369811205967,2022-11-29 18:57:26.586031,2022-11-29 18:57:36.113367,0 days 00:00:09.527336,"{0: 1, 1: 10}",36.0,log2,860,COMPLETE
43,43,0.7140242663695873,2022-11-29 18:57:36.285032,2022-11-29 18:57:51.667464,0 days 00:00:15.382432,"{0: 1, 1: 10}",14.0,0.7,510,COMPLETE
44,44,0.6490847327394507,2022-11-29 18:57:51.836611,2022-11-29 18:58:14.146835,0 days 00:00:22.310224,balanced,21.0,,760,COMPLETE
45,45,0.6486937433308623,2022-11-29 18:58:14.313103,2022-11-29 18:58:21.382031,0 days 00:00:07.068928,"{0: 1, 1: 10}",11.0,sqrt,310,COMPLETE
46,46,0.6395120206005921,2022-11-29 18:58:21.558559,2022-11-29 18:58:32.661755,0 days 00:00:11.103196,"{0: 1, 1: 100}",25.0,0.7,360,COMPLETE
47,47,0.6721293245634686,2022-11-29 18:58:32.842946,2022-11-29 18:58:53.291603,0 days 00:00:20.448657,,35.0,,360,COMPLETE
48,48,0.5512513272180707,2022-11-29 18:58:53.459777,2022-11-29 18:59:00.407555,0 days 00:00:06.947778,"{0: 1, 1: 10}",25.0,log2,60,COMPLETE
49,49,0.6625663788431267,2022-11-29 18:59:00.583561,2022-11-29 18:59:14.002401,0 days 00:00:13.418840,balanced,19.0,0.6,510,COMPLETE
50,50,0.650884409890564,2022-11-29 18:59:14.148676,2022-11-29 18:59:34.267517,0 days 00:00:20.118841,balanced,16.0,,660,COMPLETE
51,51,0.7158540903219383,2022-11-29 18:59:34.441785,2022-11-29 18:59:42.869087,0 days 00:00:08.427302,"{0: 1, 1: 10}",36.0,,110,COMPLETE
52,52,0.7176954412305385,2022-11-29 18:59:43.057068,2022-11-29 18:59:57.495582,0 days 00:00:14.438514,"{0: 1, 1: 10}",28.0,0.8,410,COMPLETE
53,53,0.5863092178779252,2022-11-29 18:59:57.686890,2022-11-29 19:00:16.158335,0 days 00:00:18.471445,"{0: 1, 1: 100}",3.0,,910,COMPLETE
54,54,0.5915924088567659,2022-11-29 19:00:16.346846,2022-11-29 19:00:23.511402,0 days 00:00:07.164556,"{0: 1, 1: 100}",,log2,310,COMPLETE
55,55,0.6424470935874597,2022-11-29 19:00:23.680770,2022-11-29 19:00:37.833723,0 days 00:00:14.152953,"{0: 1, 1: 100}",19.0,0.6,660,COMPLETE
56,56,0.7245444188528964,2022-11-29 19:00:38.010086,2022-11-29 19:00:59.459261,0 days 00:00:21.449175,,6.0,,460,COMPLETE
57,57,0.5577167121812994,2022-11-29 19:00:59.644172,2022-11-29 19:01:08.164897,0 days 00:00:08.520725,"{0: 1, 1: 10}",23.0,log2,660,COMPLETE
58,58,0.6034029393919003,2022-11-29 19:01:08.339603,2022-11-29 19:01:15.182981,0 days 00:00:06.843378,balanced,,0.8,10,COMPLETE
59,59,0.7150442203225842,2022-11-29 19:01:15.368023,2022-11-29 19:01:27.792040,0 days 00:00:12.424017,"{0: 1, 1: 10}",24.0,1.0,260,COMPLETE
60,60,0.6572259844177883,2022-11-29 19:01:27.960040,2022-11-29 19:01:34.715349,0 days 00:00:06.755309,"{0: 1, 1: 10}",21.0,0.7,10,COMPLETE
61,61,0.6790544554023611,2022-11-29 19:01:34.880732,2022-11-29 19:01:42.063314,0 days 00:00:07.182582,balanced,4.0,0.6,110,COMPLETE
62,62,0.6637155509580746,2022-11-29 19:01:42.232333,2022-11-29 19:02:03.338622,0 days 00:00:21.106289,balanced,36.0,0.7,910,COMPLETE
63,63,0.6328337472450977,2022-11-29 19:02:03.519671,2022-11-29 19:02:19.356596,0 days 00:00:15.836925,balanced,9.0,0.8,560,COMPLETE
64,64,0.6522083879365171,2022-11-29 19:02:19.546072,2022-11-29 19:02:33.325776,0 days 00:00:13.779704,balanced,5.0,0.7,510,COMPLETE
65,65,0.6707509414014223,2022-11-29 19:02:33.509711,2022-11-29 19:02:43.282865,0 days 00:00:09.773154,"{0: 1, 1: 100}",31.0,sqrt,910,COMPLETE
66,66,0.7126374668886253,2022-11-29 19:02:43.471174,2022-11-29 19:02:58.939288,0 days 00:00:15.468114,"{0: 1, 1: 10}",21.0,0.8,460,COMPLETE
67,67,0.5860117095060746,2022-11-29 19:02:59.147436,2022-11-29 19:03:07.066102,0 days 00:00:07.918666,,19.0,sqrt,460,COMPLETE
68,68,0.6031685994533726,2022-11-29 19:03:07.236396,2022-11-29 19:03:14.574816,0 days 00:00:07.338420,balanced,14.0,log2,310,COMPLETE
69,69,0.6731922221383453,2022-11-29 19:03:14.730664,2022-11-29 19:03:44.013382,0 days 00:00:29.282718,,29.0,0.8,710,COMPLETE
70,70,0.6639538109626578,2022-11-29 19:03:44.193558,2022-11-29 19:03:53.663546,0 days 00:00:09.469988,balanced,19.0,sqrt,860,COMPLETE
71,71,0.602733597191795,2022-11-29 19:03:53.836219,2022-11-29 19:04:05.829735,0 days 00:00:11.993516,"{0: 1, 1: 100}",5.0,0.7,510,COMPLETE
72,72,0.6767611696795732,2022-11-29 19:04:06.007538,2022-11-29 19:04:32.070289,0 days 00:00:26.062751,,33.0,,510,COMPLETE
73,73,0.7264800182110418,2022-11-29 19:04:32.239752,2022-11-29 19:04:42.769754,0 days 00:00:10.530002,"{0: 1, 1: 10}",5.0,,210,COMPLETE
74,74,0.6428920589888271,2022-11-29 19:04:42.966410,2022-11-29 19:05:06.347507,0 days 00:00:23.381097,"{0: 1, 1: 100}",31.0,,960,COMPLETE
75,75,0.6274560338664273,2022-11-29 19:05:06.543067,2022-11-29 19:05:15.811634,0 days 00:00:09.268567,balanced,3.0,sqrt,910,COMPLETE
76,76,0.7176378611887779,2022-11-29 19:05:16.014991,2022-11-29 19:05:41.289278,0 days 00:00:25.274287,"{0: 1, 1: 10}",37.0,1.0,760,COMPLETE
77,77,0.6632129316316446,2022-11-29 19:05:41.441035,2022-11-29 19:05:53.467785,0 days 00:00:12.026750,balanced,31.0,0.6,410,COMPLETE
78,78,0.6751836130658602,2022-11-29 19:05:53.636773,2022-11-29 19:06:01.556940,0 days 00:00:07.920167,,27.0,,60,COMPLETE
79,79,0.6653340493684925,2022-11-29 19:06:01.746261,2022-11-29 19:06:10.818925,0 days 00:00:09.072664,balanced,38.0,0.7,210,COMPLETE
80,80,0.6477336495165249,2022-11-29 19:06:10.989495,2022-11-29 19:06:31.251066,0 days 00:00:20.261571,"{0: 1, 1: 100}",22.0,0.9,860,COMPLETE
81,81,0.6740577754978577,2022-11-29 19:06:31.426987,2022-11-29 19:06:53.980186,0 days 00:00:22.553199,,33.0,0.9,460,COMPLETE
82,82,0.7215934696627426,2022-11-29 19:06:54.168799,2022-11-29 19:07:03.911357,0 days 00:00:09.742558,,7.0,1.0,110,COMPLETE
83,83,0.6275386484865279,2022-11-29 19:07:04.092766,2022-11-29 19:07:14.095350,0 days 00:00:10.002584,"{0: 1, 1: 100}",19.0,0.9,260,COMPLETE
84,84,0.6259936661892842,2022-11-29 19:07:14.265295,2022-11-29 19:07:23.624042,0 days 00:00:09.358747,"{0: 1, 1: 10}",22.0,sqrt,810,COMPLETE
85,85,0.6548269134084694,2022-11-29 19:07:23.805446,2022-11-29 19:07:47.319051,0 days 00:00:23.513605,balanced,25.0,,810,COMPLETE
86,86,0.5994667666252236,2022-11-29 19:07:47.490624,2022-11-29 19:07:56.959278,0 days 00:00:09.468654,"{0: 1, 1: 10}",10.0,log2,960,COMPLETE
87,87,0.6181087974677173,2022-11-29 19:07:57.135226,2022-11-29 19:08:03.896448,0 days 00:00:06.761222,"{0: 1, 1: 10}",14.0,sqrt,160,COMPLETE
88,88,0.5876062759521572,2022-11-29 19:08:04.050071,2022-11-29 19:08:14.755549,0 days 00:00:10.705478,"{0: 1, 1: 100}",6.0,,310,COMPLETE
89,89,0.6734275843231892,2022-11-29 19:08:14.940032,2022-11-29 19:08:35.555987,0 days 00:00:20.615955,,11.0,0.6,560,COMPLETE
90,90,0.6508158274563374,2022-11-29 19:08:35.730093,2022-11-29 19:08:54.632678,0 days 00:00:18.902585,"{0: 1, 1: 100}",38.0,0.9,760,COMPLETE
91,91,0.5981179989868168,2022-11-29 19:08:54.799836,2022-11-29 19:09:03.528476,0 days 00:00:08.728640,,7.0,log2,660,COMPLETE
92,92,0.6248105724663409,2022-11-29 19:09:03.710147,2022-11-29 19:09:25.294677,0 days 00:00:21.584530,balanced,8.0,0.8,860,COMPLETE
93,93,0.6577780900471797,2022-11-29 19:09:25.472750,2022-11-29 19:09:47.474836,0 days 00:00:22.002086,balanced,30.0,0.9,760,COMPLETE
94,94,0.6513013356112909,2022-11-29 19:09:47.654208,2022-11-29 19:09:56.550478,0 days 00:00:08.896270,balanced,22.0,0.9,160,COMPLETE
95,95,0.6813873435791623,2022-11-29 19:09:56.718372,2022-11-29 19:10:08.366634,0 days 00:00:11.648262,,3.0,0.7,410,COMPLETE
96,96,0.5828914938531118,2022-11-29 19:10:08.544477,2022-11-29 19:10:16.528758,0 days 00:00:07.984281,,21.0,sqrt,460,COMPLETE
97,97,0.592916852727944,2022-11-29 19:10:16.705396,2022-11-29 19:10:23.523118,0 days 00:00:06.817722,balanced,24.0,sqrt,10,COMPLETE
98,98,0.6596018934096963,2022-11-29 19:10:23.699685,2022-11-29 19:10:30.818085,0 days 00:00:07.118400,balanced,23.0,sqrt,310,COMPLETE
99,99,0.6097041024270263,2022-11-29 19:10:30.989743,2022-11-29 19:10:44.975349,0 days 00:00:13.985606,"{0: 1, 1: 100}",9.0,0.7,610,COMPLETE
100,100,0.6413347136297235,2022-11-29 19:10:45.156426,2022-11-29 19:11:05.792159,0 days 00:00:20.635733,"{0: 1, 1: 100}",24.0,1.0,810,COMPLETE
101,101,0.6627568532314266,2022-11-29 19:11:05.994579,2022-11-29 19:11:14.540158,0 days 00:00:08.545579,balanced,20.0,sqrt,610,COMPLETE
102,102,0.634797205572019,2022-11-29 19:11:14.725541,2022-11-29 19:11:21.709611,0 days 00:00:06.984070,"{0: 1, 1: 100}",9.0,sqrt,160,COMPLETE
103,103,0.7132546251994036,2022-11-29 19:11:21.895792,2022-11-29 19:11:41.955572,0 days 00:00:20.059780,"{0: 1, 1: 10}",24.0,1.0,560,COMPLETE
104,104,0.6402940466349796,2022-11-29 19:11:42.132466,2022-11-29 19:11:51.679413,0 days 00:00:09.546947,"{0: 1, 1: 100}",11.0,sqrt,960,COMPLETE
105,105,0.6842148664178483,2022-11-29 19:11:51.849381,2022-11-29 19:11:58.764274,0 days 00:00:06.914893,"{0: 1, 1: 10}",,,10,COMPLETE
106,106,0.6609002903715593,2022-11-29 19:11:58.941875,2022-11-29 19:12:21.450778,0 days 00:00:22.508903,balanced,25.0,0.8,910,COMPLETE
107,107,0.6218000769931714,2022-11-29 19:12:21.617084,2022-11-29 19:12:42.036129,0 days 00:00:20.419045,"{0: 1, 1: 100}",11.0,,810,COMPLETE
108,108,0.6511644226997211,2022-11-29 19:12:42.212842,2022-11-29 19:13:08.778686,0 days 00:00:26.565844,balanced,12.0,,910,COMPLETE
109,109,0.6716310220845985,2022-11-29 19:13:08.961360,2022-11-29 19:13:24.464096,0 days 00:00:15.502736,,2.0,0.7,960,COMPLETE
110,110,0.652547604305283,2022-11-29 19:13:24.629109,2022-11-29 19:13:31.492652,0 days 00:00:06.863543,"{0: 1, 1: 10}",7.0,sqrt,210,COMPLETE
111,111,0.5905203953342033,2022-11-29 19:13:31.665424,2022-11-29 19:13:45.652163,0 days 00:00:13.986739,"{0: 1, 1: 100}",3.0,0.7,760,COMPLETE
112,112,0.6627971532988838,2022-11-29 19:13:45.853100,2022-11-29 19:13:52.724060,0 days 00:00:06.870960,"{0: 1, 1: 100}",32.0,sqrt,110,COMPLETE
113,113,0.7174363620956903,2022-11-29 19:13:52.900579,2022-11-29 19:14:12.780001,0 days 00:00:19.879422,"{0: 1, 1: 10}",5.0,0.6,910,COMPLETE
114,114,0.6309015334548667,2022-11-29 19:14:12.962804,2022-11-29 19:14:22.928381,0 days 00:00:09.965577,"{0: 1, 1: 100}",16.0,0.7,310,COMPLETE
