index,cid,PBS,smiles,CoPriNet,NBS,Experimental,RO5,RO3,1st closest,2d closest,3d closest
40803,PV-002956724087,0.88,COC1=NC=CC=C1C(=O)N1CCN(C(C)=O)C(C)C1,4.44643449783325,0.9668874172185431,False,True,False,8BW3,8BW2,8BW4
41231,PV-002956724086,0.88,COC1=NC=CC=C1C(=O)N1CCN(C(C)=O)[C@H](C)C1,4.44643449783325,0.9668874172185431,False,True,False,8BW3,8BW2,8BW4
41650,PV-003257705792,0.88,CCC(=O)N1CCN(C(=O)C2=CC=C(F)C=N2)CC1C,4.44645643234253,0.980132450331126,False,True,False,8BW3,8BW2,8BW4
42547,PV-003257705791,0.88,CCC(=O)N1CCN(C(=O)C2=CC=C(F)C=N2)C[C@@H]1C,4.44645690917969,0.980132450331126,False,True,False,8BW3,8BW2,8BW4
42061,PV-002791591642,0.88,CCC(=O)N1CCN(C(=O)C2=CC=C(F)C=N2)C[C@H]1C,4.44645738601685,0.980132450331126,False,True,False,8BW3,8BW2,8BW4
44370,PV-002950075162,0.88,CCC1=C(C(=O)N2CCN(C(C)=O)[C@H](C)C2)SC=C1,4.44650173187256,0.980132450331126,False,True,False,8BW3,8BW2,8BW4
42897,PV-002950075163,0.88,CCC1=C(C(=O)N2CCN(C(C)=O)C(C)C2)SC=C1,4.44650268554688,0.980132450331126,False,True,False,8BW3,8BW2,8BW4
43276,PV-002950075161,0.88,CCC1=C(C(=O)N2CCN(C(C)=O)[C@@H](C)C2)SC=C1,4.44650268554688,0.980132450331126,False,True,False,8BW3,8BW2,8BW4
41247,PV-003203122927,0.88,"C[C@@H]1C[C@@H]1C(=O)N1CCN(C(=O)C2=NOC=C2)C[C@H]1C |&1:1,3|",4.44654035568237,0.9668874172185431,False,True,False,8BW4,8BW3,8BW2
42136,PV-003203122919,0.88,CC1CN(C(=O)C2=NOC=C2)CCN1C(=O)[C@H]1C[C@H]1C,4.44654035568237,0.9668874172185431,False,True,False,8BW4,8BW3,8BW2
43061,PV-003203122926,0.88,C[C@@H]1C[C@@H]1C(=O)N1CCN(C(=O)C2=NOC=C2)C[C@H]1C,4.44654035568237,0.9668874172185431,False,True,False,8BW4,8BW3,8BW2
40868,PV-002770436947,0.88,CC1CN(C(=O)C2=NOC=C2)CCN1C(=O)[C@H]1C[C@@H]1C,4.44654083251953,0.9668874172185431,False,True,False,8BW4,8BW3,8BW2
42094,PV-003203122920,0.88,"CC1CN(C(=O)C2=NOC=C2)CCN1C(=O)[C@H]1C[C@H]1C |&1:16,18|",4.44654083251953,0.9668874172185431,False,True,False,8BW4,8BW3,8BW2
42120,PV-003203122923,0.88,"C[C@@H]1C[C@H]1C(=O)N1CCN(C(=O)C2=NOC=C2)C[C@H]1C |&1:1,3|",4.44654083251953,0.9668874172185431,False,True,False,8BW4,8BW3,8BW2
42164,PV-003203122928,0.88,"C[C@H]1CN(C(=O)C2=NOC=C2)CCN1C(=O)[C@@H]1C[C@H]1C |&1:16,18|",4.44654083251953,0.9668874172185431,False,True,False,8BW4,8BW3,8BW2
42286,PV-003203122924,0.88,C[C@H]1C[C@H]1C(=O)N1CCN(C(=O)C2=NOC=C2)C[C@H]1C,4.44654083251953,0.9668874172185431,False,True,False,8BW4,8BW3,8BW2
42447,PV-002770436945,0.88,C[C@@H]1C[C@H]1C(=O)N1CCN(C(=O)C2=NOC=C2)C[C@H]1C,4.44654083251953,0.9668874172185431,False,True,False,8BW4,8BW3,8BW2
42873,PV-003203122925,0.88,CC1CN(C(=O)C2=NOC=C2)CCN1C(=O)[C@@H]1C[C@@H]1C,4.44654083251953,0.9668874172185431,False,True,False,8BW4,8BW3,8BW2
43900,PV-003203122929,0.88,C[C@H]1CN(C(=O)C2=NOC=C2)CCN1C(=O)[C@H]1C[C@H]1C,4.44654083251953,0.9668874172185431,False,True,False,8BW4,8BW3,8BW2
44121,PV-003203122922,0.88,"CC1CN(C(=O)C2=NOC=C2)CCN1C(=O)[C@@H]1C[C@H]1C |&1:16,18|",4.44654083251953,0.9668874172185431,False,True,False,8BW4,8BW3,8BW2
44432,PV-003203122921,0.88,C[C@H]1C[C@H]1C(=O)N1CCN(C(=O)C2=NOC=C2)C[C@@H]1C,4.44654083251953,0.9668874172185431,False,True,False,8BW4,8BW3,8BW2
44592,PV-002770436943,0.88,C[C@H]1C[C@@H]1C(=O)N1CCN(C(=O)C2=NOC=C2)C[C@@H]1C,4.44654083251953,0.9668874172185431,False,True,False,8BW4,8BW3,8BW2
40902,PV-002770436948,0.88,C[C@H]1CN(C(=O)C2=NOC=C2)CCN1C(=O)[C@@H]1C[C@H]1C,4.44654130935669,0.9668874172185431,False,True,False,8BW4,8BW3,8BW2
41595,PV-003203122930,0.88,"C[C@H]1CN(C(=O)C2=NOC=C2)CCN1C(=O)[C@H]1C[C@H]1C |&1:16,18|",4.44654130935669,0.9668874172185431,False,True,False,8BW4,8BW3,8BW2
42826,PV-002770436944,0.88,CC1CN(C(=O)C2=NOC=C2)CCN1C(=O)[C@@H]1C[C@H]1C,4.44654130935669,0.9668874172185431,False,True,False,8BW4,8BW3,8BW2
43814,PV-002770436942,0.88,C[C@H]1C[C@@H]1C(=O)N1CCN(C(=O)C2=NOC=C2)C[C@H]1C,4.44654130935669,0.9668874172185431,False,True,False,8BW4,8BW3,8BW2
41187,Z4285421728,0.88,COC(=O)N1CCN(C(=O)C2=N[NH]C(CO)=C2)C[C@@H]1C,4.44655466079712,0.980132450331126,False,True,False,8BW3,8BW2,8BW4
41382,PV-003481872155,0.88,CC(CO)C(=O)N1CCN(C(=O)C2=C[NH]C=C2)CC1C,4.44673347473145,0.9668874172185431,False,True,False,8BW4,8BW3,8BW2
41845,PV-002878489703,0.88,CC(CO)C(=O)N1CCN(C(=O)C2=C[NH]C=C2)C[C@H]1C,4.44673347473145,0.9668874172185431,False,True,False,8BW4,8BW3,8BW2
41063,PV-002878489702,0.88,CC(CO)C(=O)N1CCN(C(=O)C2=C[NH]C=C2)C[C@@H]1C,4.4467339515686,0.9668874172185431,False,True,False,8BW4,8BW3,8BW2
40490,PV-002878371249,0.88,CC1CN(C(=O)C2=NSC=C2)CCN1C(=O)CC#N,4.44683694839478,0.9668874172185431,False,True,False,8BW4,8BW3,8BW2
42119,PV-002878371248,0.88,C[C@@H]1CN(C(=O)C2=NSC=C2)CCN1C(=O)CC#N,4.44683742523193,0.9668874172185431,False,True,False,8BW4,8BW3,8BW2
42933,PV-002878371250,0.88,C[C@H]1CN(C(=O)C2=NSC=C2)CCN1C(=O)CC#N,4.44683742523193,0.9668874172185431,False,True,False,8BW4,8BW3,8BW2
40129,PV-003024104267,0.88,CC(=O)N1CCN(C(=O)C2=C(C)C=CN2C)C[C@H]1C,4.44698762893677,0.9735099337748345,False,True,False,8BW4,8BW3,8BW2
40148,PV-003024104268,0.88,CC(=O)N1CCN(C(=O)C2=C(C)C=CN2C)C[C@@H]1C,4.44698762893677,0.9735099337748345,False,True,False,8BW4,8BW3,8BW2
40183,PV-003024104269,0.88,CC(=O)N1CCN(C(=O)C2=C(C)C=CN2C)CC1C,4.44698762893677,0.9735099337748345,False,True,False,8BW4,8BW3,8BW2
43530,PV-002981198549,0.88,CC(=O)N1CCN(C(=O)C2=CC=C(Cl)O2)CC1C,4.44703006744385,0.9735099337748345,False,True,False,8BW3,8BW2,8BW4
42370,PV-002981198547,0.88,CC(=O)N1CCN(C(=O)C2=CC=C(Cl)O2)C[C@H]1C,4.44703054428101,0.9735099337748345,False,True,False,8BW3,8BW2,8BW4
